"name";"age";"salary";"gender";"Department";"position";"Joining_Date";"performance_score";"email";"Phone_number"
"David";50;70000;"";"Sales";"Assistant";"";"D";"email@example.c";"123-456-7890"
"Jack";35;0;"";"IT";"Director";"";"B";"user@domain.com";""
"Hannah";40;600000;"";"Marketing";"Clerk";"";"A";"";""
"Alice";25;70000;"";"IT";"Manager";"";"A";"email@example.c";"555-555-5555"
"Jack";25;55000;"";"Sales";"Clerk";"";"F";"";""
"Alice";0;65000;"";"Sales";"Assistant";"";"F";"email@example.c";"098-765-4321"
"David";50;65000;"";"IT";"Clerk";"";"B";"";"123-456-7890"
"Hannah";25;0;"";"Marketing";"Director";"";"A";"";""
"Eve";35;55000;"";"IT";"Clerk";"";"B";"";""
"Bob";50;0;"";"Sales";"Assistant";"";"F";"";"123-456-7890"
"Frank";35;55000;"";"Sales";"Assistant";"";"F";"name@company.or";""
"Eve";25;600000;"";"Finance";"Assistant";"";"D";"email@example.c";"555-555-5555"
"Bob";25;65000;"";"Finance";"Director";"";"B";"name@company.or";""
"Charlie";0;65000;"";"HR";"Assistant";"";"B";"email@example.c";"555-555-5555"
"Ivy";25;600000;"";"Sales";"Manager";"";"A";"user@domain.com";"098-765-4321"
"Grace";50;50000;"";"Finance";"Assistant";"";"A";"";"098-765-4321"
"Grace";50;0;"";"IT";"Clerk";"";"D";"user@domain.com";""
"Frank";50;600000;"";"Marketing";"Clerk";"";"C";"user@domain.com";"555-555-5555"
"Hannah";0;0;"";"IT";"Clerk";"";"C";"email@example.c";"098-765-4321"
"David";0;70000;"";"Marketing";"Director";"";"C";"name@company.or";""
"Hannah";25;65000;"";"Finance";"Clerk";"";"B";"";"123-456-7890"
"David";30;0;"";"HR";"Director";"";"B";"email@example.c";"123-456-7890"
"Hannah";30;55000;"";"IT";"Director";"";"F";"";"555-555-5555"
"Ivy";0;0;"";"IT";"Assistant";"";"B";"user@domain.com";""
"Charlie";25;70000;"";"IT";"Manager";"";"B";"";""
"Charlie";30;65000;"";"Marketing";"Assistant";"";"B";"name@company.or";"555-555-5555"
"Bob";25;600000;"";"Finance";"Assistant";"";"D";"email@example.c";"123-456-7890"
"Jack";25;70000;"";"IT";"Director";"";"B";"name@company.or";"555-555-5555"
"Charlie";25;65000;"";"IT";"Director";"";"A";"name@company.or";""
"Charlie";40;0;"";"HR";"Clerk";"";"A";"email@example.c";"098-765-4321"
"Eve";50;50000;"";"HR";"Clerk";"";"F";"name@company.or";""
"Eve";25;50000;"";"Finance";"Assistant";"";"D";"";"098-765-4321"
"Bob";40;55000;"";"Finance";"Analyst";"";"A";"";"098-765-4321"
"Jack";0;65000;"";"Sales";"Analyst";"";"D";"";"098-765-4321"
"Frank";30;50000;"";"HR";"Clerk";"";"D";"";"555-555-5555"
"Eve";50;600000;"";"Sales";"Analyst";"";"F";"name@company.or";"123-456-7890"
"Frank";30;65000;"";"Marketing";"Clerk";"";"D";"email@example.c";"555-555-5555"
"Alice";50;600000;"";"Sales";"Director";"";"B";"email@example.c";"123-456-7890"
"Eve";30;600000;"";"IT";"Assistant";"";"D";"";""
"Ivy";50;50000;"";"Sales";"Manager";"";"F";"email@example.c";""
"Jack";30;65000;"";"Finance";"Assistant";"";"F";"";""
"Bob";30;0;"";"Marketing";"Clerk";"";"F";"name@company.or";"555-555-5555"
"Alice";30;70000;"";"IT";"Clerk";"";"A";"email@example.c";"555-555-5555"
"Jack";30;50000;"";"Sales";"Assistant";"";"B";"email@example.c";"123-456-7890"
"Ivy";0;50000;"";"Marketing";"Clerk";"";"A";"user@domain.com";"555-555-5555"
"Jack";25;0;"";"Marketing";"Analyst";"";"C";"user@domain.com";"098-765-4321"
"Ivy";35;65000;"";"IT";"Analyst";"";"B";"user@domain.com";"555-555-5555"
"Ivy";40;65000;"";"Sales";"Clerk";"";"D";"name@company.or";"123-456-7890"
"Frank";35;600000;"";"Marketing";"Clerk";"";"F";"";"123-456-7890"
"Hannah";35;0;"";"Marketing";"Analyst";"";"C";"";"098-765-4321"
"Alice";50;0;"";"HR";"Clerk";"";"B";"";"123-456-7890"
"Jack";25;65000;"";"Marketing";"Clerk";"";"A";"name@company.or";""
"David";50;600000;"";"HR";"Assistant";"";"F";"name@company.or";""
"Alice";25;50000;"";"Sales";"Manager";"";"A";"user@domain.com";"555-555-5555"
"Hannah";25;55000;"";"Sales";"Analyst";"";"B";"email@example.c";""
"Alice";30;70000;"";"Sales";"Assistant";"";"B";"";"555-555-5555"
"Charlie";0;50000;"";"Finance";"Manager";"";"C";"";""
"David";30;65000;"";"Sales";"Clerk";"";"D";"email@example.c";"555-555-5555"
"Hannah";0;70000;"";"Marketing";"Clerk";"";"A";"user@domain.com";"098-765-4321"
"Frank";50;55000;"";"IT";"Assistant";"";"C";"email@example.c";"123-456-7890"
"Jack";0;55000;"";"HR";"Clerk";"";"F";"email@example.c";"123-456-7890"
"Grace";50;600000;"";"Finance";"Director";"";"D";"";"098-765-4321"
"Hannah";35;70000;"";"Sales";"Assistant";"";"C";"user@domain.com";""
"Bob";35;600000;"";"Sales";"Manager";"";"A";"name@company.or";""
"Jack";0;50000;"";"IT";"Assistant";"";"B";"";""
"Hannah";0;0;"";"IT";"Analyst";"";"F";"name@company.or";"123-456-7890"
"Charlie";50;0;"";"Finance";"Assistant";"";"A";"user@domain.com";""
"Grace";30;0;"";"HR";"Clerk";"";"D";"email@example.c";"555-555-5555"
"Charlie";50;70000;"";"Sales";"Clerk";"";"D";"";""
"Grace";30;0;"";"Finance";"Director";"";"B";"";""
"Bob";35;50000;"";"Marketing";"Director";"";"B";"user@domain.com";"098-765-4321"
"Jack";25;600000;"";"Marketing";"Director";"";"F";"";"555-555-5555"
"Frank";0;70000;"";"Finance";"Manager";"";"F";"name@company.or";""
"Charlie";30;600000;"";"Sales";"Director";"";"B";"";"555-555-5555"
"Charlie";50;70000;"";"Finance";"Manager";"";"B";"user@domain.com";""
"Ivy";35;600000;"";"Sales";"Director";"";"D";"user@domain.com";"123-456-7890"
"Grace";30;55000;"";"IT";"Manager";"";"B";"name@company.or";""
"Eve";50;600000;"";"Finance";"Assistant";"";"C";"";"098-765-4321"
"Jack";0;0;"";"Sales";"Assistant";"";"A";"";""
"Grace";0;55000;"";"Finance";"Clerk";"";"B";"email@example.c";""
"Ivy";40;600000;"";"Finance";"Manager";"";"F";"";"098-765-4321"
"Alice";25;70000;"";"Sales";"Analyst";"";"C";"user@domain.com";""
"Grace";40;70000;"";"Sales";"Clerk";"";"F";"email@example.c";""
"Frank";35;70000;"";"HR";"Assistant";"";"C";"user@domain.com";""
"Jack";30;65000;"";"Finance";"Manager";"";"B";"email@example.c";"555-555-5555"
"Ivy";35;50000;"";"Marketing";"Director";"";"A";"";""
"Alice";50;70000;"";"Finance";"Analyst";"";"F";"email@example.c";""
"David";0;55000;"";"Finance";"Assistant";"";"C";"user@domain.com";"123-456-7890"
"Ivy";40;70000;"";"Sales";"Clerk";"";"D";"";""
"David";40;65000;"";"Finance";"Manager";"";"B";"user@domain.com";"555-555-5555"
"Jack";40;0;"";"Finance";"Analyst";"";"A";"name@company.or";"098-765-4321"
"Charlie";35;55000;"";"Marketing";"Manager";"";"B";"name@company.or";"098-765-4321"
"Ivy";0;65000;"";"Sales";"Director";"";"D";"name@company.or";"098-765-4321"
"Bob";30;0;"";"Finance";"Clerk";"";"A";"name@company.or";"123-456-7890"
"David";50;55000;"";"IT";"Manager";"";"D";"";"555-555-5555"
"Frank";30;600000;"";"HR";"Assistant";"";"B";"";""
"Bob";35;50000;"";"Marketing";"Clerk";"";"C";"";"098-765-4321"
"Hannah";50;50000;"";"Finance";"Assistant";"";"B";"user@domain.com";"555-555-5555"
"Hannah";40;65000;"";"IT";"Manager";"";"B";"email@example.c";""
"Alice";25;0;"";"Finance";"Clerk";"";"B";"user@domain.com";"123-456-7890"
"Charlie";35;50000;"";"Finance";"Assistant";"";"F";"user@domain.com";"555-555-5555"
"Jack";35;0;"";"Sales";"Director";"";"D";"user@domain.com";"555-555-5555"
"Ivy";0;0;"";"Sales";"Director";"";"D";"user@domain.com";""
"Eve";30;65000;"";"Sales";"Manager";"";"D";"";"555-555-5555"
"Frank";35;65000;"";"IT";"Clerk";"";"F";"email@example.c";""
"David";35;65000;"";"Finance";"Analyst";"";"C";"user@domain.com";"123-456-7890"
"Jack";40;50000;"";"HR";"Clerk";"";"B";"";"123-456-7890"
"Bob";40;65000;"";"Marketing";"Director";"";"C";"user@domain.com";""
"Hannah";50;50000;"";"Sales";"Assistant";"";"F";"name@company.or";""
"Frank";25;65000;"";"Sales";"Analyst";"";"D";"user@domain.com";""
"Eve";0;70000;"";"Finance";"Manager";"";"B";"user@domain.com";"098-765-4321"
"Ivy";25;0;"";"Finance";"Analyst";"";"A";"";"098-765-4321"
"Alice";50;65000;"";"IT";"Manager";"";"A";"name@company.or";""
"Eve";40;55000;"";"IT";"Analyst";"";"C";"email@example.c";"123-456-7890"
"Frank";30;0;"";"Sales";"Manager";"";"D";"user@domain.com";"098-765-4321"
"Eve";40;0;"";"Finance";"Manager";"";"A";"email@example.c";"555-555-5555"
"Frank";0;65000;"";"HR";"Analyst";"";"C";"name@company.or";"123-456-7890"
"Frank";40;600000;"";"Marketing";"Analyst";"";"F";"user@domain.com";"555-555-5555"
"Grace";0;65000;"";"Finance";"Manager";"";"C";"";""
"David";0;0;"";"Finance";"Director";"";"C";"";"123-456-7890"
"Hannah";0;55000;"";"IT";"Analyst";"";"C";"";""
"Grace";50;0;"";"Marketing";"Clerk";"";"B";"";""
"Ivy";0;55000;"";"Sales";"Assistant";"";"C";"";""
"Grace";0;50000;"";"Finance";"Manager";"";"C";"";"555-555-5555"
"Charlie";30;70000;"";"Sales";"Manager";"";"B";"";""
"Charlie";25;0;"";"Finance";"Assistant";"";"B";"user@domain.com";"098-765-4321"
"Hannah";35;65000;"";"Sales";"Director";"";"F";"email@example.c";"123-456-7890"
"Eve";25;50000;"";"Marketing";"Assistant";"";"D";"email@example.c";"098-765-4321"
"David";0;70000;"";"IT";"Analyst";"";"A";"";"555-555-5555"
"Hannah";30;65000;"";"Marketing";"Assistant";"";"A";"";"555-555-5555"
"Frank";40;600000;"";"HR";"Manager";"";"C";"name@company.or";"123-456-7890"
"Bob";30;65000;"";"IT";"Assistant";"";"F";"";""
"David";0;55000;"";"Marketing";"Clerk";"";"C";"";""
"David";30;55000;"";"HR";"Analyst";"";"A";"";"555-555-5555"
"Frank";30;600000;"";"Finance";"Assistant";"";"B";"user@domain.com";"123-456-7890"
"Frank";0;50000;"";"Finance";"Manager";"";"D";"user@domain.com";""
"Alice";50;70000;"";"Sales";"Analyst";"";"F";"email@example.c";""
"Hannah";30;65000;"";"IT";"Manager";"";"B";"email@example.c";"555-555-5555"
"Frank";35;55000;"";"Finance";"Director";"";"D";"name@company.or";"123-456-7890"
"Charlie";35;50000;"";"IT";"Clerk";"";"F";"name@company.or";"123-456-7890"
"Ivy";30;600000;"";"Finance";"Director";"";"F";"name@company.or";"123-456-7890"
"Bob";50;0;"";"Sales";"Clerk";"";"A";"name@company.or";"555-555-5555"
"Hannah";40;55000;"";"Marketing";"Assistant";"";"B";"";""
"Jack";0;600000;"";"Sales";"Analyst";"";"F";"";"123-456-7890"
"Charlie";35;65000;"";"HR";"Assistant";"";"F";"email@example.c";""
"Eve";40;70000;"";"Finance";"Clerk";"";"D";"user@domain.com";"123-456-7890"
"Frank";30;55000;"";"HR";"Clerk";"";"A";"user@domain.com";""
"Jack";40;55000;"";"HR";"Clerk";"";"C";"";"555-555-5555"
"Frank";25;65000;"";"IT";"Manager";"";"A";"";"123-456-7890"
"David";35;0;"";"Finance";"Analyst";"";"C";"name@company.or";"123-456-7890"
"Charlie";30;50000;"";"HR";"Assistant";"";"B";"name@company.or";""
"David";0;70000;"";"Marketing";"Assistant";"";"B";"";""
"Alice";50;55000;"";"HR";"Director";"";"F";"user@domain.com";"123-456-7890"
"David";30;70000;"";"Marketing";"Clerk";"";"B";"name@company.or";"123-456-7890"
"Alice";0;55000;"";"IT";"Clerk";"";"F";"user@domain.com";""
"Alice";50;70000;"";"HR";"Clerk";"";"A";"";""
"Jack";50;600000;"";"Sales";"Assistant";"";"B";"user@domain.com";"098-765-4321"
"Frank";30;55000;"";"IT";"Director";"";"A";"user@domain.com";"098-765-4321"
"Eve";40;70000;"";"Marketing";"Manager";"";"A";"user@domain.com";"123-456-7890"
"David";40;50000;"";"IT";"Analyst";"";"B";"name@company.or";""
"Charlie";50;600000;"";"HR";"Manager";"";"A";"email@example.c";"555-555-5555"
"Alice";40;600000;"";"Finance";"Assistant";"";"B";"";"555-555-5555"
"Frank";25;50000;"";"Finance";"Clerk";"";"B";"user@domain.com";"098-765-4321"
"Bob";50;70000;"";"Marketing";"Analyst";"";"B";"user@domain.com";""
"Hannah";50;65000;"";"Marketing";"Assistant";"";"C";"user@domain.com";"098-765-4321"
"Jack";0;50000;"";"Finance";"Assistant";"";"A";"email@example.c";"123-456-7890"
"Eve";40;70000;"";"Marketing";"Assistant";"";"D";"";""
"Grace";50;50000;"";"IT";"Analyst";"";"B";"name@company.or";"555-555-5555"
"Jack";25;50000;"";"Sales";"Analyst";"";"A";"email@example.c";""
"Bob";0;55000;"";"Sales";"Director";"";"F";"user@domain.com";""
"Hannah";30;70000;"";"IT";"Director";"";"B";"email@example.c";"123-456-7890"
"Bob";50;65000;"";"Sales";"Manager";"";"B";"email@example.c";"098-765-4321"
"David";25;55000;"";"HR";"Analyst";"";"D";"email@example.c";"123-456-7890"
"Alice";35;50000;"";"IT";"Analyst";"";"C";"";""
"Eve";25;0;"";"Marketing";"Analyst";"";"C";"";"555-555-5555"
"Ivy";25;50000;"";"IT";"Director";"";"B";"name@company.or";""
"Alice";0;50000;"";"Finance";"Assistant";"";"A";"";""
"Ivy";30;70000;"";"Marketing";"Clerk";"";"F";"";""
"Hannah";35;70000;"";"Finance";"Director";"";"F";"";""
"Frank";40;55000;"";"Marketing";"Analyst";"";"A";"";""
"Grace";40;65000;"";"Sales";"Director";"";"B";"email@example.c";"098-765-4321"
"Charlie";25;55000;"";"IT";"Manager";"";"F";"email@example.c";""
"Alice";0;600000;"";"HR";"Analyst";"";"C";"user@domain.com";"123-456-7890"
"Eve";0;50000;"";"Marketing";"Manager";"";"A";"";""
"Bob";40;0;"";"Marketing";"Analyst";"";"D";"user@domain.com";"123-456-7890"
"Eve";35;50000;"";"Finance";"Director";"";"B";"name@company.or";""
"Hannah";30;50000;"";"Sales";"Assistant";"";"A";"email@example.c";""
"Ivy";35;55000;"";"Finance";"Clerk";"";"F";"name@company.or";""
"Bob";50;0;"";"Finance";"Manager";"";"B";"";""
"Charlie";50;0;"";"Sales";"Director";"";"C";"email@example.c";"098-765-4321"
"Charlie";30;0;"";"HR";"Assistant";"";"B";"name@company.or";""
"Alice";40;55000;"";"Finance";"Director";"";"B";"";"123-456-7890"
"Hannah";30;50000;"";"Finance";"Manager";"";"C";"name@company.or";"123-456-7890"
"Frank";0;55000;"";"Marketing";"Clerk";"";"C";"";""
"Hannah";50;70000;"";"Sales";"Director";"";"B";"";"098-765-4321"
"Ivy";25;70000;"";"IT";"Analyst";"";"C";"email@example.c";"098-765-4321"
"Eve";25;55000;"";"HR";"Assistant";"";"A";"user@domain.com";"098-765-4321"
"Charlie";40;0;"";"HR";"Director";"";"C";"";"123-456-7890"
"Eve";0;50000;"";"Sales";"Assistant";"";"C";"";""
"Eve";35;55000;"";"Marketing";"Analyst";"";"B";"email@example.c";"098-765-4321"
"Eve";0;55000;"";"Marketing";"Clerk";"";"A";"user@domain.com";"123-456-7890"
"Charlie";25;55000;"";"Sales";"Clerk";"";"D";"";"123-456-7890"
"Jack";25;600000;"";"Marketing";"Analyst";"";"D";"";""
"David";50;70000;"";"HR";"Assistant";"";"F";"user@domain.com";""
"Ivy";0;0;"";"HR";"Director";"";"C";"name@company.or";""
"Jack";0;65000;"";"IT";"Analyst";"";"C";"email@example.c";"098-765-4321"
"Ivy";25;0;"";"Sales";"Manager";"";"A";"user@domain.com";"098-765-4321"
"Bob";35;65000;"";"Finance";"Assistant";"";"D";"";""
"Hannah";40;600000;"";"Finance";"Clerk";"";"F";"";"098-765-4321"
"Hannah";40;55000;"";"IT";"Analyst";"";"A";"";""
"Grace";0;600000;"";"IT";"Clerk";"";"C";"";"123-456-7890"
"Hannah";40;600000;"";"Marketing";"Assistant";"";"D";"email@example.c";"098-765-4321"
"Charlie";25;50000;"";"IT";"Clerk";"";"F";"";"123-456-7890"
"Frank";25;70000;"";"IT";"Analyst";"";"B";"user@domain.com";"555-555-5555"
"Alice";0;65000;"";"Finance";"Assistant";"";"D";"";""
"Grace";0;55000;"";"Marketing";"Manager";"";"F";"name@company.or";"555-555-5555"
"Alice";50;65000;"";"IT";"Analyst";"";"A";"user@domain.com";"098-765-4321"
"Ivy";0;0;"";"IT";"Director";"";"B";"email@example.c";"123-456-7890"
"Alice";35;65000;"";"Marketing";"Analyst";"";"F";"user@domain.com";"098-765-4321"
"Alice";40;0;"";"Sales";"Assistant";"";"F";"name@company.or";"555-555-5555"
"Grace";0;70000;"";"Marketing";"Analyst";"";"C";"email@example.c";"098-765-4321"
"Bob";30;0;"";"Finance";"Manager";"";"D";"";""
"Eve";50;65000;"";"Sales";"Manager";"";"C";"name@company.or";"555-555-5555"
"Hannah";30;65000;"";"HR";"Director";"";"B";"email@example.c";"098-765-4321"
"Hannah";25;0;"";"Marketing";"Clerk";"";"F";"";"123-456-7890"
"Charlie";40;600000;"";"Finance";"Assistant";"";"C";"user@domain.com";"098-765-4321"
"Grace";0;70000;"";"Sales";"Assistant";"";"D";"email@example.c";"123-456-7890"
"Charlie";30;50000;"";"Marketing";"Clerk";"";"B";"user@domain.com";""
"Frank";40;55000;"";"IT";"Manager";"";"A";"";"098-765-4321"
"Frank";25;65000;"";"Marketing";"Manager";"";"C";"email@example.c";""
"Charlie";35;55000;"";"HR";"Analyst";"";"B";"";"555-555-5555"
"Grace";50;50000;"";"Marketing";"Director";"";"A";"name@company.or";"123-456-7890"
"Charlie";40;55000;"";"Sales";"Director";"";"C";"email@example.c";"555-555-5555"
"Hannah";40;50000;"";"Sales";"Director";"";"B";"";"123-456-7890"
"Jack";35;0;"";"Marketing";"Analyst";"";"B";"email@example.c";""
"David";40;600000;"";"Sales";"Director";"";"C";"user@domain.com";""
"Alice";25;65000;"";"IT";"Clerk";"";"B";"email@example.c";"098-765-4321"
"David";25;50000;"";"Marketing";"Analyst";"";"F";"";""
"Grace";35;55000;"";"IT";"Clerk";"";"C";"email@example.c";"123-456-7890"
"David";50;65000;"";"IT";"Analyst";"";"B";"name@company.or";"123-456-7890"
"Frank";0;600000;"";"Finance";"Director";"";"A";"email@example.c";"123-456-7890"
"Ivy";30;0;"";"Marketing";"Clerk";"";"A";"user@domain.com";"123-456-7890"
"Alice";0;65000;"";"Sales";"Clerk";"";"F";"email@example.c";"098-765-4321"
"Eve";40;50000;"";"IT";"Clerk";"";"C";"";"555-555-5555"
"Grace";30;600000;"";"Finance";"Analyst";"";"B";"";""
"Alice";35;55000;"";"Marketing";"Assistant";"";"B";"email@example.c";"098-765-4321"
"David";35;600000;"";"Marketing";"Director";"";"A";"email@example.c";"123-456-7890"
"Frank";50;600000;"";"HR";"Clerk";"";"F";"name@company.or";"098-765-4321"
"Bob";30;70000;"";"HR";"Assistant";"";"A";"";""
"Jack";25;600000;"";"IT";"Director";"";"A";"";"123-456-7890"
"Eve";30;600000;"";"HR";"Director";"";"F";"user@domain.com";""
"Jack";40;65000;"";"IT";"Clerk";"";"C";"email@example.c";"123-456-7890"
"Alice";25;55000;"";"Sales";"Clerk";"";"B";"";""
"Frank";35;65000;"";"IT";"Analyst";"";"C";"user@domain.com";""
"Frank";30;65000;"";"HR";"Assistant";"";"D";"";"555-555-5555"
"David";0;50000;"";"Sales";"Assistant";"";"D";"";"555-555-5555"
"Hannah";50;65000;"";"HR";"Clerk";"";"D";"";"098-765-4321"
"David";0;70000;"";"IT";"Director";"";"F";"user@domain.com";"098-765-4321"
"Hannah";50;70000;"";"Finance";"Clerk";"";"A";"";""
"Hannah";40;50000;"";"Marketing";"Director";"";"C";"";"123-456-7890"
"Eve";0;0;"";"HR";"Director";"";"B";"";""
"David";30;55000;"";"IT";"Clerk";"";"D";"";""
"Bob";30;55000;"";"Sales";"Manager";"";"C";"";"123-456-7890"
"Charlie";0;65000;"";"HR";"Assistant";"";"D";"name@company.or";"123-456-7890"
"Charlie";30;65000;"";"HR";"Director";"";"D";"user@domain.com";"555-555-5555"
"David";40;0;"";"Marketing";"Director";"";"B";"";""
"David";25;65000;"";"IT";"Manager";"";"F";"";""
"Jack";40;55000;"";"Finance";"Analyst";"";"A";"user@domain.com";"098-765-4321"
"Eve";50;600000;"";"Sales";"Manager";"";"F";"user@domain.com";"555-555-5555"
"David";40;70000;"";"IT";"Manager";"";"C";"user@domain.com";""
"Jack";50;600000;"";"Sales";"Director";"";"F";"user@domain.com";"123-456-7890"
"Hannah";30;600000;"";"HR";"Assistant";"";"C";"email@example.c";""
"Frank";25;55000;"";"Marketing";"Manager";"";"C";"";""
"Frank";30;600000;"";"Marketing";"Analyst";"";"A";"email@example.c";"555-555-5555"
"Hannah";35;0;"";"Finance";"Clerk";"";"B";"";"123-456-7890"
"Grace";30;50000;"";"Marketing";"Manager";"";"A";"";""
"Jack";50;65000;"";"HR";"Manager";"";"F";"";"098-765-4321"
"Jack";30;50000;"";"Finance";"Analyst";"";"C";"";"555-555-5555"
"Hannah";30;70000;"";"IT";"Assistant";"";"D";"user@domain.com";""
"Bob";25;65000;"";"Marketing";"Manager";"";"D";"email@example.c";""
"Ivy";30;600000;"";"Finance";"Manager";"";"C";"user@domain.com";"123-456-7890"
